Company_Name,Full_Name,Rating,Reviews,Salaries,Interviews,Jobs,Benefits,Industry,Headquarters_Locations,Rated_For,Profile_URL
Omega Healthcare,Omega Healthcare overview,3.7,6.8k,28.8k,582,124,421,BPO,Chennai +74 other locations,"Promotions, Salary",https://www.ambitionbox.com/overview/omega-healthcare-overview
JLL,Jones Lang Lasalle,4.1,6.8k,26.4k,515,543,584,Real Estate,Gurugram +93 other locations,"Company Culture, Work Life Balance, Job Security",https://www.ambitionbox.com/overview/jll-overview
Muthoot Finance,Muthoot Finance overview,3.7,6.8k,13.4k,390,133,360,NBFC,Bengaluru +824 other locations,Job Security,https://www.ambitionbox.com/overview/muthoot-finance-overview
eClerx,eClerx overview,3.1,6.7k,34.1k,666,473,579,IT Services & Consulting,Pune +35 other locations,"Promotions, Salary, Work Satisfaction",https://www.ambitionbox.com/overview/eclerx-overview
IIFL Finance,IIFL,4.0,6.6k,14.1k,345,175,406,NBFC,Mumbai +842 other locations,"Work Life Balance, Company Culture, Job Security",https://www.ambitionbox.com/overview/iifl-finance-overview
PolicyBazaar,PolicyBazaar overview,3.7,6.6k,19.4k,680,1.4k,307,Internet,Gurugram +168 other locations,Salary,https://www.ambitionbox.com/overview/policybazaar-overview
Indian Army,Indian Army overview,4.7,6.5k,9.6k,216,--,757,Defence & Aerospace,New Delhi +377 other locations,"Job Security, Company Culture, Work Life Balance",https://www.ambitionbox.com/overview/indian-army-overview
DMart,D Mart,3.9,6.6k,20k,591,272,501,Retail,Mumbai +261 other locations,"Job Security, Company Culture",https://www.ambitionbox.com/overview/dmart-overview
Indiamart Intermesh,IndiaMART InterMESH LTD,3.6,6.5k,21.7k,831,247,535,Internet,Noida +168 other locations,"Work Satisfaction, Promotions, Company Culture",https://www.ambitionbox.com/overview/indiamart-intermesh-overview
Piramal Finance,Piramal Finance overview,4.2,6.4k,13.1k,311,103,460,NBFC,Mumbai +446 other locations,"Company Culture, Work Life Balance, Skill Development",https://www.ambitionbox.com/overview/piramal-finance-overview
